qid,video,question,type_code,relation_from_type,relation_from_lexical,relation_final,relation_disagreement,extraction_status,anchor_clause,target_entity,query_roles,query_texts,seed_texts,fallback_reason,n_text_embeddings,n_seed_queries,subject_prepended,head_form,v2_fallback_reason,v2_texts
2,8740703217,what does the baby do after picking up the food,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby picking up the food,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after picking up the food"", ""a video frame showing the baby picking up the food"", ""a video frame showing the baby""]","[""what does the baby do after picking up the food"", ""a video frame showing the baby picking up the food""]",,3,2,1,what_do,,"[""a video frame showing baby picking up the food"", ""a video frame showing baby""]"
3,2796821016,why does the boy in white stop rolling and start again in between,CW,CAUSE,,CAUSE,0,head_event,the boy in white stop rolling and start again in between,,"[""original"", ""anchor_primary""]","[""why does the boy in white stop rolling and start again in between"", ""a video frame showing the boy in white stop rolling and start again in between""]","[""why does the boy in white stop rolling and start again in between"", ""a video frame showing the boy in white stop rolling and start again in between""]",,2,2,0,why_head,,"[""a video frame showing the boy in white stop rolling and start again in between""]"
2,4465235803,why is baby looking back occasionally while having the haircut,CW,CAUSE,DURING,CAUSE,1,clause_extracted,baby looking back occasionally,,"[""original"", ""anchor_primary""]","[""why is baby looking back occasionally while having the haircut"", ""a video frame showing baby looking back occasionally""]","[""why is baby looking back occasionally while having the haircut"", ""a video frame showing baby looking back occasionally""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is baby looking back occasionally while having the haircut"", ""why is baby looking back occasionally while having the haircut""]"
8,3524939594,how do the men on the cart react when the man pulling it swaying the cart from side to side,TC,DURING,DURING,DURING,0,clause_extracted,the man pulling it swaying the cart from side to side,,"[""original"", ""anchor_primary""]","[""how do the men on the cart react when the man pulling it swaying the cart from side to side"", ""a video frame showing the man pulling it swaying the cart from side to side""]","[""how do the men on the cart react when the man pulling it swaying the cart from side to side"", ""a video frame showing the man pulling it swaying the cart from side to side""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how do the men on the cart react when the man pulling it swaying the cart from side to side"", ""how do the men on the cart react when the man pulling it swaying the cart from side to side""]"
9,12392885583,why did the woman put her hand in front of the baby s head,CW,CAUSE,,CAUSE,0,head_event,the woman put her hand in front of the baby s head,,"[""original"", ""anchor_primary""]","[""why did the woman put her hand in front of the baby's head"", ""a video frame showing the woman put her hand in front of the baby's head""]","[""why did the woman put her hand in front of the baby's head"", ""a video frame showing the woman put her hand in front of the baby's head""]",,2,2,0,why_head,,"[""a video frame showing the woman put her hand in front of the baby's head""]"
7,3375218204,what do the children do after the man lies down in the middle,TN,AFTER,AFTER,AFTER,0,clause_extracted,the man lies down,the children,"[""original"", ""anchor_primary"", ""target_entity""]","[""what do the children do after the man lies down in the middle"", ""a video frame showing the man lies down"", ""a video frame showing the children""]","[""what do the children do after the man lies down in the middle"", ""a video frame showing the man lies down""]",,3,2,0,what_do,no_clause_pattern_matched,"[""a video frame showing what do the children do after the man lies down in the middle"", ""what do the children do after the man lies down in the middle""]"
3,10030609934,how did the boy react after someone pointed at the toy cars,CH,MANNER,AFTER,MANNER,1,clause_extracted,the boy react,,"[""original"", ""anchor_primary""]","[""how did the boy react after someone pointed at the toy cars"", ""a video frame showing the boy react""]","[""how did the boy react after someone pointed at the toy cars"", ""a video frame showing the boy react""]",,2,2,0,how_head,,"[""a video frame showing the boy react after someone pointed at the toy cars""]"
7,2735019707,what does the boy do after talking to the man at the beginning,TN,AFTER,AFTER,AFTER,0,clause_extracted,the boy talking to the man,the boy,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the boy do after talking to the man at the beginning"", ""a video frame showing the boy talking to the man"", ""a video frame showing the boy""]","[""what does the boy do after talking to the man at the beginning"", ""a video frame showing the boy talking to the man""]",,3,2,1,what_do,,"[""a video frame showing boy talking to the man at the beginning"", ""a video frame showing boy""]"
3,3046900922,why does the man swing the child left to right after the pile of leaves is dismantled,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the man swing the child left to,,"[""original"", ""anchor_primary""]","[""why does the man swing the child left to right after the pile of leaves is dismantled"", ""a video frame showing the man swing the child left to""]","[""why does the man swing the child left to right after the pile of leaves is dismantled"", ""a video frame showing the man swing the child left to""]",,2,2,0,why_head,,"[""a video frame showing the man swing the child left to right after the pile of leaves is dismantled""]"
5,11244289523,why did the lady in orange stripes approach the baby and wanted to carry her,CW,CAUSE,,CAUSE,0,head_event,the lady in orange stripes approach the baby and wanted to carry her,,"[""original"", ""anchor_primary""]","[""why did the lady in orange stripes approach the baby and wanted to carry her"", ""a video frame showing the lady in orange stripes approach the baby and wanted to carry her""]","[""why did the lady in orange stripes approach the baby and wanted to carry her"", ""a video frame showing the lady in orange stripes approach the baby and wanted to carry her""]",,2,2,0,why_head,,"[""a video frame showing the lady in orange stripes approach the baby and wanted to carry her""]"
6,8505893258,what was the lady in pink doing to the girl with floral shirt,TC,DURING,,DURING,0,head_event,the lady in pink doing to the girl with floral shirt,,"[""original"", ""anchor_primary""]","[""what was the lady in pink doing to the girl with floral shirt"", ""a video frame showing the lady in pink doing to the girl with floral shirt""]","[""what was the lady in pink doing to the girl with floral shirt"", ""a video frame showing the lady in pink doing to the girl with floral shirt""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing what was the lady in pink doing to the girl with floral shirt"", ""what was the lady in pink doing to the girl with floral shirt""]"
3,3388598772,what does the man with a white cap do ater the man in blue and the woman in black finished kissing,TC,DURING,,DURING,0,head_event,the man with a white cap do ater the man in blue and the woman in black finished kissing,,"[""original"", ""anchor_primary""]","[""what does the man with a white cap do ater the man in blue and the woman in black finished kissing"", ""a video frame showing the man with a white cap do ater the man in blue and the woman in black finished kissing""]","[""what does the man with a white cap do ater the man in blue and the woman in black finished kissing"", ""a video frame showing the man with a white cap do ater the man in blue and the woman in black finished kissing""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing the man with a white cap do ater the man in blue and the woman in black finished kissing"", ""what does the man with a white cap do ater the man in blue and the woman in black finished kissing""]"
10,6516459343,why  does the man in green hold a shoes in his hand at the start,CW,CAUSE,,CAUSE,0,head_event,the man in green hold a shoes in his hand at the start,,"[""original"", ""anchor_primary""]","[""why does the man in green hold a shoes in his hand at the start"", ""a video frame showing the man in green hold a shoes in his hand at the start""]","[""why does the man in green hold a shoes in his hand at the start"", ""a video frame showing the man in green hold a shoes in his hand at the start""]",,2,2,0,why_head,,"[""a video frame showing the man in green hold a shoes in his hand at the start""]"
0,6297019062,how was the baby in yellow kept safe on the baby chair,CH,MANNER,,MANNER,0,head_event,the baby in yellow kept safe on the baby chair,,"[""original"", ""anchor_primary""]","[""how was the baby in yellow kept safe on the baby chair"", ""a video frame showing the baby in yellow kept safe on the baby chair""]","[""how was the baby in yellow kept safe on the baby chair"", ""a video frame showing the baby in yellow kept safe on the baby chair""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how was the baby in yellow kept safe on the baby chair"", ""how was the baby in yellow kept safe on the baby chair""]"
10,7492398760,what does the lady do after holding the hands of the boy for a while in the middle,TN,AFTER,AFTER,AFTER,0,clause_extracted,the lady holding the hands of the boy for a while,the lady,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the lady do after holding the hands of the boy for a while in the middle"", ""a video frame showing the lady holding the hands of the boy for a while"", ""a video frame showing the lady""]","[""what does the lady do after holding the hands of the boy for a while in the middle"", ""a video frame showing the lady holding the hands of the boy for a while""]",,3,2,1,what_do,,"[""a video frame showing lady holding the hands of the boy for a while in the middle"", ""a video frame showing lady""]"
1,5549243726,why did the girl jump up and down in front of the baby,CW,CAUSE,,CAUSE,0,head_event,the girl jump up and down in front of the baby,,"[""original"", ""anchor_primary""]","[""why did the girl jump up and down in front of the baby"", ""a video frame showing the girl jump up and down in front of the baby""]","[""why did the girl jump up and down in front of the baby"", ""a video frame showing the girl jump up and down in front of the baby""]",,2,2,0,why_head,,"[""a video frame showing the girl jump up and down in front of the baby""]"
7,2829462646,why is there a man in brown resting at the side of the wall when camera was panned to show the interior,CW,CAUSE,DURING,CAUSE,1,clause_extracted,there a man in brown resting at the side of the wall,,"[""original"", ""anchor_primary""]","[""why is there a man in brown resting at the side of the wall when camera was panned to show the interior"", ""a video frame showing there a man in brown resting at the side of the wall""]","[""why is there a man in brown resting at the side of the wall when camera was panned to show the interior"", ""a video frame showing there a man in brown resting at the side of the wall""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is there a man in brown resting at the side of the wall when camera was panned to show the interior"", ""why is there a man in brown resting at the side of the wall when camera was panned to show the interior""]"
1,5561024834,why does the boy turn around after reaching the bookshelf,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the boy turn around,,"[""original"", ""anchor_primary""]","[""why does the boy turn around after reaching the bookshelf"", ""a video frame showing the boy turn around""]","[""why does the boy turn around after reaching the bookshelf"", ""a video frame showing the boy turn around""]",,2,2,0,why_head,,"[""a video frame showing the boy turn around after reaching the bookshelf""]"
9,5801184682,what did the human do when the cat hid before the black bag,TP,BEFORE,DURING,BEFORE,1,clause_extracted,the cat hid before the black bag,the human,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the human do when the cat hid before the black bag"", ""a video frame showing the cat hid before the black bag"", ""a video frame showing the human""]","[""what did the human do when the cat hid before the black bag"", ""a video frame showing the cat hid before the black bag""]",,3,2,0,what_do,,"[""a video frame showing the cat hid before the black bag"", ""a video frame showing human near the cat hid before the black bag""]"
1,2930782930,how did the lady show affection to the boy in the middle of the video,CH,MANNER,,MANNER,0,head_event,the lady show affection to the boy,,"[""original"", ""anchor_primary""]","[""how did the lady show affection to the boy in the middle of the video"", ""a video frame showing the lady show affection to the boy""]","[""how did the lady show affection to the boy in the middle of the video"", ""a video frame showing the lady show affection to the boy""]",,2,2,0,how_head,,"[""a video frame showing the lady show affection to the boy in the middle of the video""]"
9,3026084730,what did the man in the middle do with his spectacles after he took it out,TN,AFTER,AFTER,AFTER,0,clause_extracted,he took it out,,"[""original"", ""anchor_primary""]","[""what did the man in the middle do with his spectacles after he took it out"", ""a video frame showing he took it out""]","[""what did the man in the middle do with his spectacles after he took it out"", ""a video frame showing he took it out""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing the man in the middle do with his spectacles after he took it out"", ""what did the man in the middle do with his spectacles after he took it out""]"
3,3383804222,what is the response of the older panda as the baby panda scratches it in the middle,TC,DURING,DURING,DURING,0,clause_extracted,the baby panda scratches it,,"[""original"", ""anchor_primary""]","[""what is the response of the older panda as the baby panda scratches it in the middle"", ""a video frame showing the baby panda scratches it""]","[""what is the response of the older panda as the baby panda scratches it in the middle"", ""a video frame showing the baby panda scratches it""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing what is the response of the older panda as the baby panda scratches it in the middle"", ""what is the response of the older panda as the baby panda scratches it in the middle""]"
8,3526597179,what did the lady in white do after the lady in yellow turned to the man,TN,AFTER,AFTER,AFTER,0,clause_extracted,the lady in yellow turned to the man,the lady in white,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady in white do after the lady in yellow turned to the man"", ""a video frame showing the lady in yellow turned to the man"", ""a video frame showing the lady in white""]","[""what did the lady in white do after the lady in yellow turned to the man"", ""a video frame showing the lady in yellow turned to the man""]",,3,2,0,what_do,,"[""a video frame showing lady in white the lady in yellow turned to the man"", ""a video frame showing lady in white""]"
8,4378803532,what did the girl in red do after she approached the boy to look at the sparkles,TN,AFTER,AFTER,AFTER,0,clause_extracted,she approached the boy to look at the sparkles,the girl in red,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the girl in red do after she approached the boy to look at the sparkles"", ""a video frame showing she approached the boy to look at the sparkles"", ""a video frame showing the girl in red""]","[""what did the girl in red do after she approached the boy to look at the sparkles"", ""a video frame showing she approached the boy to look at the sparkles""]",,3,2,0,what_do,,"[""a video frame showing girl in red she approached the boy to look at the sparkles"", ""a video frame showing girl in red""]"
3,6018490041,why did the man in white stomp his right feet before the game,CW,CAUSE,BEFORE,CAUSE,1,clause_extracted,the man in white stomp his right feet,,"[""original"", ""anchor_primary""]","[""why did the man in white stomp his right feet before the game"", ""a video frame showing the man in white stomp his right feet""]","[""why did the man in white stomp his right feet before the game"", ""a video frame showing the man in white stomp his right feet""]",,2,2,0,why_head,,"[""a video frame showing the man in white stomp his right feet before the game""]"
2,4584426085,what did the lady do after grabbing the red toy after the middle part of the video,TN,AFTER,AFTER,AFTER,0,clause_extracted,the lady grabbing the red toy after the middle part of the video,the lady,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady do after grabbing the red toy after the middle part of the video"", ""a video frame showing the lady grabbing the red toy after the middle part of the video"", ""a video frame showing the lady""]","[""what did the lady do after grabbing the red toy after the middle part of the video"", ""a video frame showing the lady grabbing the red toy after the middle part of the video""]",,3,2,1,what_do,,"[""a video frame showing lady grabbing the red toy after the middle part of the video"", ""a video frame showing lady""]"
1,4968805923,what is the man in white holding behind his back before he moved his arms,TP,BEFORE,BEFORE,BEFORE,0,clause_extracted,he moved his arms,,"[""original"", ""anchor_primary""]","[""what is the man in white holding behind his back before he moved his arms"", ""a video frame showing he moved his arms""]","[""what is the man in white holding behind his back before he moved his arms"", ""a video frame showing he moved his arms""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing what is the man in white holding behind his back before he moved his arms"", ""what is the man in white holding behind his back before he moved his arms""]"
5,8797589693,what does the blonde lady do after the man in blue stands up at the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the man in blue stands up at the start,the blonde lady,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the blonde lady do after the man in blue stands up at the start"", ""a video frame showing the man in blue stands up at the start"", ""a video frame showing the blonde lady""]","[""what does the blonde lady do after the man in blue stands up at the start"", ""a video frame showing the man in blue stands up at the start""]",,3,2,0,what_do,,"[""a video frame showing blonde lady the man in blue stands up at the start"", ""a video frame showing blonde lady""]"
4,5173770364,what does the baby do after removing her hand from the leg at the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby removing her hand from the leg at the start,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after removing her hand from the leg at the start"", ""a video frame showing the baby removing her hand from the leg at the start"", ""a video frame showing the baby""]","[""what does the baby do after removing her hand from the leg at the start"", ""a video frame showing the baby removing her hand from the leg at the start""]",,3,2,1,what_do,,"[""a video frame showing baby removing her hand from the leg at the start"", ""a video frame showing baby""]"
7,3441428429,why does the female skater suddenly hook her arm around the make skater s arm,CW,CAUSE,,CAUSE,0,head_event,the female skater suddenly hook her arm around the make skater s arm,,"[""original"", ""anchor_primary""]","[""why does the female skater suddenly hook her arm around the make skater's arm"", ""a video frame showing the female skater suddenly hook her arm around the make skater's arm""]","[""why does the female skater suddenly hook her arm around the make skater's arm"", ""a video frame showing the female skater suddenly hook her arm around the make skater's arm""]",,2,2,0,why_head,,"[""a video frame showing the female skater suddenly hook her arm around the make skater's arm""]"
2,4147398280,how did the boy strategise where to turn next,CH,MANNER,,MANNER,0,head_event,the boy strategise where to turn next,,"[""original"", ""anchor_primary""]","[""how did the boy strategise where to turn next"", ""a video frame showing the boy strategise where to turn next""]","[""how did the boy strategise where to turn next"", ""a video frame showing the boy strategise where to turn next""]",,2,2,0,how_head,,"[""a video frame showing the boy strategise where to turn next""]"
5,3557498300,why does the boy in blue run forward,CW,CAUSE,,CAUSE,0,head_event,the boy in blue run forward,,"[""original"", ""anchor_primary""]","[""why does the boy in blue run forward"", ""a video frame showing the boy in blue run forward""]","[""why does the boy in blue run forward"", ""a video frame showing the boy in blue run forward""]",,2,2,0,why_head,,"[""a video frame showing the boy in blue run forward""]"
8,4272084125,how is the lady trying to open the bottle,CH,MANNER,,MANNER,0,head_event,the lady trying to open the bottle,,"[""original"", ""anchor_primary""]","[""how is the lady trying to open the bottle"", ""a video frame showing the lady trying to open the bottle""]","[""how is the lady trying to open the bottle"", ""a video frame showing the lady trying to open the bottle""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how is the lady trying to open the bottle"", ""how is the lady trying to open the bottle""]"
2,4915733559,why did the boy proceed to move towards a picture book after watching the phone,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the boy proceed to move towards a picture book,,"[""original"", ""anchor_primary""]","[""why did the boy proceed to move towards a picture book after watching the phone"", ""a video frame showing the boy proceed to move towards a picture book""]","[""why did the boy proceed to move towards a picture book after watching the phone"", ""a video frame showing the boy proceed to move towards a picture book""]",,2,2,0,why_head,,"[""a video frame showing the boy proceed to move towards a picture book after watching the phone""]"
7,7531285946,why did the lady looked down as she climbed down the ladder,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the lady looked down,,"[""original"", ""anchor_primary""]","[""why did the lady looked down as she climbed down the ladder"", ""a video frame showing the lady looked down""]","[""why did the lady looked down as she climbed down the ladder"", ""a video frame showing the lady looked down""]",,2,2,0,why_head,,"[""a video frame showing the lady looked down as she climbed down the ladder""]"
5,3445431963,where did the diver put her hand after waving to the camera,TN,AFTER,AFTER,AFTER,0,clause_extracted,waving to the camera,,"[""original"", ""anchor_primary""]","[""where did the diver put her hand after waving to the camera"", ""a video frame showing waving to the camera""]","[""where did the diver put her hand after waving to the camera"", ""a video frame showing waving to the camera""]",,2,2,0,wh_other,no_clause_pattern_matched,"[""a video frame showing the diver put her hand after waving to the camera"", ""where did the diver put her hand after waving to the camera""]"
10,2957808913,what were the other people in the background doing at the start when the man in black danced,TC,DURING,DURING,DURING,0,clause_extracted,the man in black danced,,"[""original"", ""anchor_primary""]","[""what were the other people in the background doing at the start when the man in black danced"", ""a video frame showing the man in black danced""]","[""what were the other people in the background doing at the start when the man in black danced"", ""a video frame showing the man in black danced""]",,2,2,0,what_head,no_clause_pattern_matched,"[""a video frame showing what were the other people in the background doing at the start when the man in black danced"", ""what were the other people in the background doing at the start when the man in black danced""]"
9,7331927796,how does the boy react after the white dog tries to touch his face,TN,AFTER,AFTER,AFTER,0,clause_extracted,the white dog tries to touch his face,,"[""original"", ""anchor_primary""]","[""how does the boy react after the white dog tries to touch his face"", ""a video frame showing the white dog tries to touch his face""]","[""how does the boy react after the white dog tries to touch his face"", ""a video frame showing the white dog tries to touch his face""]",,2,2,0,how_head,,"[""a video frame showing the boy react after the white dog tries to touch his face""]"
0,2535384528,how did the man in black manage to make the ball fly so far,CH,MANNER,,MANNER,0,head_event,the man in black manage to make the ball fly so far,,"[""original"", ""anchor_primary""]","[""how did the man in black manage to make the ball fly so far"", ""a video frame showing the man in black manage to make the ball fly so far""]","[""how did the man in black manage to make the ball fly so far"", ""a video frame showing the man in black manage to make the ball fly so far""]",,2,2,0,how_head,,"[""a video frame showing the man in black manage to make the ball fly so far""]"
9,8575881495,how does the girl play with the toy in the middle of the video,CH,MANNER,,MANNER,0,head_event,the girl play with the toy,,"[""original"", ""anchor_primary""]","[""how does the girl play with the toy in the middle of the video"", ""a video frame showing the girl play with the toy""]","[""how does the girl play with the toy in the middle of the video"", ""a video frame showing the girl play with the toy""]",,2,2,0,how_head,,"[""a video frame showing the girl play with the toy in the middle of the video""]"
7,10127533784,why do the people thrust their the items in their hands forward,CW,CAUSE,,CAUSE,0,head_event,the people thrust their the items in their hands forward,,"[""original"", ""anchor_primary""]","[""why do the people thrust their the items in their hands forward"", ""a video frame showing the people thrust their the items in their hands forward""]","[""why do the people thrust their the items in their hands forward"", ""a video frame showing the people thrust their the items in their hands forward""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why do the people thrust their the items in their hands forward"", ""why do the people thrust their the items in their hands forward""]"
9,4765717907,why did the boy run towards the ball after he was put down on the ground near the end,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the boy run towards the ball,,"[""original"", ""anchor_primary""]","[""why did the boy run towards the ball after he was put down on the ground near the end"", ""a video frame showing the boy run towards the ball""]","[""why did the boy run towards the ball after he was put down on the ground near the end"", ""a video frame showing the boy run towards the ball""]",,2,2,0,why_head,,"[""a video frame showing the boy run towards the ball after he was put down on the ground near the end""]"
3,5885887012,what does the baby do after stopping briefly at the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby stopping briefly at the start,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after stopping briefly at the start"", ""a video frame showing the baby stopping briefly at the start"", ""a video frame showing the baby""]","[""what does the baby do after stopping briefly at the start"", ""a video frame showing the baby stopping briefly at the start""]",,3,2,1,what_do,,"[""a video frame showing baby stopping briefly at the start"", ""a video frame showing baby""]"
5,5504913999,why is the man holding two poles,CW,CAUSE,,CAUSE,0,head_event,the man holding two poles,,"[""original"", ""anchor_primary""]","[""why is the man holding two poles"", ""a video frame showing the man holding two poles""]","[""why is the man holding two poles"", ""a video frame showing the man holding two poles""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the man holding two poles"", ""why is the man holding two poles""]"
4,3383804222,what does the older panda do after looking up for a while in the middle,TN,AFTER,AFTER,AFTER,0,clause_extracted,the older panda looking up for a while,the older panda,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the older panda do after looking up for a while in the middle"", ""a video frame showing the older panda looking up for a while"", ""a video frame showing the older panda""]","[""what does the older panda do after looking up for a while in the middle"", ""a video frame showing the older panda looking up for a while""]",,3,2,1,what_do,,"[""a video frame showing older panda looking up for a while in the middle"", ""a video frame showing older panda""]"
4,3388598772,how is the man with a white cap feeling,TC,DURING,,DURING,0,head_event,the man with a white cap feeling,,"[""original"", ""anchor_primary""]","[""how is the man with a white cap feeling"", ""a video frame showing the man with a white cap feeling""]","[""how is the man with a white cap feeling"", ""a video frame showing the man with a white cap feeling""]",,2,2,0,how_head,no_clause_pattern_matched,"[""a video frame showing how is the man with a white cap feeling"", ""how is the man with a white cap feeling""]"
2,2957808913,what do the men on stage do when the man in black jacket is dancing the street,TC,DURING,DURING,DURING,0,clause_extracted,the man in black jacket is dancing the street,the men on stage,"[""original"", ""anchor_primary"", ""target_entity""]","[""what do the men on stage do when the man in black jacket is dancing the street"", ""a video frame showing the man in black jacket is dancing the street"", ""a video frame showing the men on stage""]","[""what do the men on stage do when the man in black jacket is dancing the street"", ""a video frame showing the man in black jacket is dancing the street""]",,3,2,0,what_do,no_clause_pattern_matched,"[""a video frame showing what do the men on stage do when the man in black jacket is dancing the street"", ""what do the men on stage do when the man in black jacket is dancing the street""]"
5,3145698830,why did the man point towards the stuffed toy after the middle,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the man point towards the stuffed toy,,"[""original"", ""anchor_primary""]","[""why did the man point towards the stuffed toy after the middle"", ""a video frame showing the man point towards the stuffed toy""]","[""why did the man point towards the stuffed toy after the middle"", ""a video frame showing the man point towards the stuffed toy""]",,2,2,0,why_head,,"[""a video frame showing the man point towards the stuffed toy after the middle""]"
5,4798585428,why did the man in red touch the yellow shirt man s hand after the yellow shirt man placed his arm on him,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the man in red touch the yellow shirt man s hand,,"[""original"", ""anchor_primary""]","[""why did the man in red touch the yellow shirt man's hand after the yellow shirt man placed his arm on him"", ""a video frame showing the man in red touch the yellow shirt man's hand""]","[""why did the man in red touch the yellow shirt man's hand after the yellow shirt man placed his arm on him"", ""a video frame showing the man in red touch the yellow shirt man's hand""]",,2,2,0,why_head,,"[""a video frame showing the man in red touch the yellow shirt man's hand after the yellow shirt man placed his arm on him""]"
1,4412508597,what does the boy do as the lady in blue was sitting next to him,TC,DURING,DURING,DURING,0,clause_extracted,the lady in blue was sitting next to him,the boy,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the boy do as the lady in blue was sitting next to him"", ""a video frame showing the lady in blue was sitting next to him"", ""a video frame showing the boy""]","[""what does the boy do as the lady in blue was sitting next to him"", ""a video frame showing the lady in blue was sitting next to him""]",,3,2,0,what_do,,"[""a video frame showing the lady in blue was sitting next to him"", ""a video frame showing boy near the lady in blue was sitting next to him""]"
12,3372023610,what did the lady in black do after the man in grey sang into the microphone,TN,AFTER,AFTER,AFTER,0,clause_extracted,the man in grey sang into the microphone,the lady in black,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the lady in black do after the man in grey sang into the microphone"", ""a video frame showing the man in grey sang into the microphone"", ""a video frame showing the lady in black""]","[""what did the lady in black do after the man in grey sang into the microphone"", ""a video frame showing the man in grey sang into the microphone""]",,3,2,0,what_do,,"[""a video frame showing lady in black the man in grey sang into the microphone"", ""a video frame showing lady in black""]"
2,3814690167,why did the woman tap her foot for while she was playing the drum,CW,CAUSE,DURING,CAUSE,1,clause_extracted,the woman tap her foot for,,"[""original"", ""anchor_primary""]","[""why did the woman tap her foot for while she was playing the drum"", ""a video frame showing the woman tap her foot for""]","[""why did the woman tap her foot for while she was playing the drum"", ""a video frame showing the woman tap her foot for""]",,2,2,0,why_head,,"[""a video frame showing the woman tap her foot for while she was playing the drum""]"
7,6618792571,what did the girl do after she picked up the toy spoon,TN,AFTER,AFTER,AFTER,0,clause_extracted,she picked up the toy spoon,the girl,"[""original"", ""anchor_primary"", ""target_entity""]","[""what did the girl do after she picked up the toy spoon"", ""a video frame showing she picked up the toy spoon"", ""a video frame showing the girl""]","[""what did the girl do after she picked up the toy spoon"", ""a video frame showing she picked up the toy spoon""]",,3,2,0,what_do,,"[""a video frame showing girl she picked up the toy spoon"", ""a video frame showing girl""]"
0,11871253306,why are the boy in white sheeve running near the beginning,CW,CAUSE,,CAUSE,0,head_event,the boy in white sheeve running near the beginning,,"[""original"", ""anchor_primary""]","[""why are the boy in white sheeve running near the beginning"", ""a video frame showing the boy in white sheeve running near the beginning""]","[""why are the boy in white sheeve running near the beginning"", ""a video frame showing the boy in white sheeve running near the beginning""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why are the boy in white sheeve running near the beginning"", ""why are the boy in white sheeve running near the beginning""]"
0,5173770364,what does the baby do after putting one hand on the adult s foot at the start,TN,AFTER,AFTER,AFTER,0,clause_extracted,the baby putting one hand on the adult s foot at the start,the baby,"[""original"", ""anchor_primary"", ""target_entity""]","[""what does the baby do after putting one hand on the adult's foot at the start"", ""a video frame showing the baby putting one hand on the adult's foot at the start"", ""a video frame showing the baby""]","[""what does the baby do after putting one hand on the adult's foot at the start"", ""a video frame showing the baby putting one hand on the adult's foot at the start""]",,3,2,1,what_do,,"[""a video frame showing baby putting one hand on the adult's foot at the start"", ""a video frame showing baby""]"
9,4420239986,why does the cat use its paws to hit the dog s face,CW,CAUSE,,CAUSE,0,head_event,the cat use its paws to hit the dog s face,,"[""original"", ""anchor_primary""]","[""why does the cat use its paws to hit the dog's face"", ""a video frame showing the cat use its paws to hit the dog's face""]","[""why does the cat use its paws to hit the dog's face"", ""a video frame showing the cat use its paws to hit the dog's face""]",,2,2,0,why_head,,"[""a video frame showing the cat use its paws to hit the dog's face""]"
2,8531675050,why does the lady in black and white crouch into the red tent after pointing to the crowd,CW,CAUSE,AFTER,CAUSE,1,clause_extracted,the lady in black and white crouch into the red tent,,"[""original"", ""anchor_primary""]","[""why does the lady in black and white crouch into the red tent after pointing to the crowd"", ""a video frame showing the lady in black and white crouch into the red tent""]","[""why does the lady in black and white crouch into the red tent after pointing to the crowd"", ""a video frame showing the lady in black and white crouch into the red tent""]",,2,2,0,why_head,,"[""a video frame showing the lady in black and white crouch into the red tent after pointing to the crowd""]"
10,2454242177,why is the hanging object moving in the middle,TC,DURING,,DURING,0,head_event,the hanging object moving,,"[""original"", ""anchor_primary""]","[""why is the hanging object moving in the middle"", ""a video frame showing the hanging object moving""]","[""why is the hanging object moving in the middle"", ""a video frame showing the hanging object moving""]",,2,2,0,why_head,no_clause_pattern_matched,"[""a video frame showing why is the hanging object moving in the middle"", ""why is the hanging object moving in the middle""]"
